name,title,coords
Замок клх Тутаев,Landmark,"21.7028, -70.1672"
Площадь п. Холмогоры,Mountain Peak,"-20.5816, 61.3622"
Bridge of Acevedoview,Nature Reserve,"-7.3349, 124.6427"
Park of Stephenchester,Public Park,"46.0167, -42.1215"
Музей г. Бавлы,Nature Reserve,"-6.937, 105.4135"
Park of Nancyshire,Public Park,"-37.7437, 53.2428"
Озеро к. Бронницы,Исторический район,"-10.5615, -120.3541"
Lake of Williambury,Музей,"-14.2843, -159.0969"
Озеро г. Аршан (Бурят.),Природный объект,"61.3062, -168.8333"
Музей к. Хоста,Музей,"55.9946, -40.916"
Озеро к. Хатанга,Исторический район,"51.4183, -105.62"
Озеро д. Геленджик,Пляж,"-31.698, 69.0996"
Lake of Courtneychester,Пляж,"-55.6692, -142.1346"
Парк клх Челюскин,Пляж,"-59.6401, -100.4534"
Парк к. Добрянка,Mountain Peak,"34.4865, 151.2991"
Замок ст. Хатанга,Mountain Peak,"44.6836, 169.2229"
Lake of Lake Mary,Nature Reserve,"21.9902, 124.0875"
Bridge of Hillchester,Famous Intersection,"20.162, -63.1032"
Lake of Alvarezchester,Famous Intersection,"-66.711, 108.7137"
Museum of West Nathanielton,Храм,"48.386, -154.0309"
Park of Nicolemouth,Public Park,"43.5337, -46.0029"
Замок г. Бреды,Museum,"-24.6752, -72.3116"
Square of South Olivia,Музей,"-69.7667, -126.2842"
Площадь к. Ростов-на-Дону,Nature Reserve,"21.5658, -118.1468"
Озеро к. Кяхта,Public Park,"-29.3118, -112.7785"
Square of Stevenhaven,Исторический район,"-27.6796, 49.3767"
Парк клх Благовещенск (Амур.),Landmark,"-61.3942, 80.9782"
Castle of Port David,Музей,"-53.7058, 57.7071"
Bridge of Jenniferburgh,Landmark,"64.0354, 110.1009"
Park of New Laurenmouth,Mountain Peak,"-41.3565, -77.4172"
Гора клх Кежма,Historic Site,"-24.6208, -72.8048"
Lake of Gillhaven,Museum,"43.7274, 106.6448"
Lake of East Tammy,Горнолыжный курорт,"4.5784, -19.3074"
Гора клх Юрьев-Польский,Museum,"20.5688, 83.5496"
Park of South Jose,Famous Intersection,"-46.1671, 162.0461"
Lake of Port Andrew,Храм,"-0.6167, 85.5576"
Castle of North Mark,Nature Reserve,"-45.248, 46.8133"
Park of Figueroamouth,Достопримечательность,"-55.8817, -63.9152"
Museum of Port Jacqueline,Public Park,"-55.4053, 144.2607"
Парк п. Звенигород,Museum,"23.9487, -36.0119"
Bridge of East Jessica,Museum,"0.9814, -159.1045"
Парк д. Городовиковск,Landmark,"18.3419, 21.3506"
Park of Woodsbury,Landmark,"45.8769, 102.4713"
Гора п. Ивдель,Historic Site,"16.103, 48.9012"
Lake of Lake Sarah,Парк,"-6.5938, 0.666"
Park of South Christopherberg,Исторический район,"-38.4078, -17.0884"
Castle of Lake Raymondmouth,Historic Site,"-7.7538, 28.9858"
Square of West Lisa,Музей,"16.5701, -168.1111"
Парк клх Бузулук,Famous Intersection,"45.5054, 78.7394"
Замок п. Белокуриха,Пляж,"26.1573, 126.8355"
Площадь д. Углич,Landmark,"47.7869, 40.9766"
Lake of Riddleside,Природный объект,"-45.4938, -107.3588"
Square of North Jennifermouth,Музей,"38.5177, -33.2681"
Square of Woodsmouth,Landmark,"69.8284, -117.0915"
Замок п. Екатеринбург,Исторический район,"10.8208, -128.287"
Park of South Julie,Nature Reserve,"13.4553, 92.0072"
Park of North Anthony,Исторический район,"-15.6484, -84.1764"
Lake of North Brettport,Nature Reserve,"49.0591, 129.2557"
Lake of Schneiderville,Достопримечательность,"20.4509, -25.4703"
Парк к. Пушкинские Горы,Historic Site,"35.7309, 74.3812"
Lake of Davidport,Famous Intersection,"51.9353, 151.5322"
Замок к. Бреды,Исторический район,"-5.4854, 163.4088"
Парк д. Нефедова,Landmark,"-36.3567, 138.6547"
Park of Lambhaven,Парк,"67.3736, -51.5456"
Площадь ст. Буйнакск,Famous Intersection,"-7.2235, 7.8017"
Bridge of Lindsayview,Пляж,"-43.5327, 95.0921"
Castle of Lake Dawnchester,Museum,"-34.7037, -136.739"
Bridge of Lake Michael,Mountain Peak,"-20.5854, 24.2847"
Озеро ст. Кузнецк,Пляж,"47.9699, -99.7233"
Музей ст. Хабаровск,Landmark,"-56.6917, 0.2366"
Парк к. Ухта,Достопримечательность,"9.927, -5.1279"
Museum of South Ann,Достопримечательность,"-35.8406, 33.0715"
Lake of North Christopherburgh,Природный объект,"-21.3645, -84.4121"
Музей к. Псебай,Famous Intersection,"-15.1157, 30.8328"
Museum of Sheppardhaven,Достопримечательность,"11.1428, 157.6962"
Castle of Lake Timothy,Mountain Peak,"54.9182, 41.3824"
Castle of Codyfurt,Famous Intersection,"-66.328, 100.0762"
Гора ст. Калач-на-Дону,Достопримечательность,"-23.289, 105.0652"
Park of Brownborough,Historic Site,"-16.2312, -147.1377"
Museum of Newmanchester,Музей,"-41.2163, 129.2286"
Площадь с. Елец,Исторический район,"-0.6424, -31.2619"
Озеро ст. Грозный,Природный объект,"-15.4558, 64.0312"
Museum of Lawrencefort,Beach,"-24.9403, -5.8949"
Museum of Macdonaldstad,Public Park,"-48.1108, 146.2236"
Lake of West Annetteberg,Исторический район,"36.8552, -3.0164"
Castle of Snowhaven,Храм,"52.0402, 131.9006"
Lake of Leemouth,Nature Reserve,"2.5021, -160.0823"
Озеро д. Шатой,Beach,"20.0943, -8.4721"
Музей п. Невинномысск,Природный объект,"-32.5041, -128.2387"
Museum of Lake Kendra,Famous Intersection,"-8.3379, -156.1823"
Lake of North Kathy,Famous Intersection,"-14.3918, 113.6258"
Парк клх Александровск-Сахалинский,Парк,"-5.8689, 149.0641"
Park of New Lauriemouth,Храм,"13.6498, -58.6928"
Museum of Moralesville,Пляж,"-31.4224, 167.692"
Lake of East Ronald,Public Park,"-10.9483, -131.1323"
Castle of East Kathleen,Горнолыжный курорт,"67.91, 51.0023"
Bridge of Baileyfurt,Public Park,"-6.4876, 60.965"
Park of Lake Jenniferfort,Горнолыжный курорт,"-51.8837, -23.6106"
Музей с. Мокшан,Museum,"-60.2027, 128.8167"
Park of West Renee,Beach,"2.1623, -48.4225"
Lake of Patriciatown,Mountain Peak,"-44.719, 47.6198"
Museum of Alvaradoborough,Парк,"59.126, -13.9777"
Bridge of Amymouth,Парк,"-37.6998, 119.9668"
Озеро с. Междуреченский,Landmark,"-63.0255, 129.5041"
Castle of Paulmouth,Beach,"36.8992, 17.1859"
Castle of Lake Andrew,Природный объект,"20.4797, -117.6856"
Площадь г. Калевала,Museum,"-44.6452, -73.8327"
Castle of Gonzalezfurt,Mountain Peak,"60.4657, 156.545"
Bridge of New Ann,Beach,"47.4232, -104.8068"
Lake of Hillhaven,Beach,"62.0277, 30.3718"
Castle of Port Nicolebury,Famous Intersection,"23.128, 73.6844"
Bridge of South Brian,Музей,"51.8683, -152.6043"
Lake of Lake Jessicashire,Пляж,"-18.7374, -137.7947"
Bridge of Hughestown,Пляж,"-42.998, 42.6235"
Замок п. Валаам,Исторический район,"-68.8264, 165.7959"
Park of Katieport,Famous Intersection,"38.4706, -132.066"
Museum of Brandontown,Public Park,"39.1556, -118.1699"
Музей п. Владимир,Historic Site,"-15.9856, -74.4294"
Park of Huntberg,Горнолыжный курорт,"54.1395, 102.5295"
Площадь ст. Нефтекамск,Парк,"-11.783, -166.2078"
Музей к. Енисейск,Горнолыжный курорт,"-36.7895, 37.0036"
Lake of West Randyport,Beach,"-20.2932, 145.3737"
Замок д. Железногорск(Курск.),Достопримечательность,"-33.1212, -52.4668"
Музей ст. Кулу,Храм,"24.7322, -19.1928"
Замок п. Кижи,Beach,"63.7004, -9.9421"
Bridge of New Deborahport,Природный объект,"26.3893, -158.821"
Замок д. Тулун,Famous Intersection,"48.7585, -8.9868"
Замок д. Балашиха,Природный объект,"17.2171, -10.0321"
Museum of Kristinmouth,Горнолыжный курорт,"-1.9574, -17.185"
Bridge of Pattersonborough,Landmark,"59.3145, -48.5789"
Озеро с. Джубга,Горнолыжный курорт,"-46.5523, 161.5956"
Park of Johnton,Исторический район,"-31.3212, 47.2508"
Музей д. Лабытнанги,Famous Intersection,"17.7886, -160.377"
Bridge of Fergusonbury,Исторический район,"68.7372, -166.409"
Castle of Bryantmouth,Храм,"49.5376, -106.3655"
Замок п. Северо-Курильск,Исторический район,"-30.5057, 75.7664"
Museum of Port Kimberly,Природный объект,"41.5375, 118.6315"
Castle of Andersonside,Музей,"-4.7555, 17.9062"
Square of Loweport,Nature Reserve,"20.0272, -87.275"
Площадь г. Ессентуки,Парк,"42.6175, -117.2492"
Museum of East Andrew,Храм,"-66.4404, -99.3493"
Park of Maryfurt,Public Park,"60.9849, -99.9235"
Озеро к. Сунтар,Museum,"-60.9713, 62.3314"
Озеро п. Теберда,Nature Reserve,"69.9076, 160.1015"
Площадь клх Уссурийск,Пляж,"-42.616, 20.1483"
Площадь ст. Игнашино,Museum,"22.5526, -26.3557"
Bridge of Elizabethbury,Достопримечательность,"66.0629, 86.1439"
Square of Port Andreahaven,Исторический район,"-25.4902, -143.7609"
Castle of Zacharyville,Famous Intersection,"-46.8267, -89.4734"
Парк к. Старая Русса,Beach,"51.8933, -137.8529"
Park of Sheliaport,Исторический район,"-69.9195, -73.3774"
Замок г. Елатьма,Landmark,"-11.5155, -113.6708"
Музей д. Уварово,Famous Intersection,"-40.2693, -76.6118"
Square of Ericksonland,Nature Reserve,"-56.296, 21.6222"
Park of Lindaside,Исторический район,"-24.1598, 33.5677"
Bridge of Sharonmouth,Public Park,"-68.3594, -50.9292"
Castle of Port Antoniotown,Nature Reserve,"-66.2354, 138.7033"
Парк ст. Дмитров,Museum,"-51.6925, -147.6592"
Парк с. Беслан,Museum,"-25.2526, 38.2599"
Музей г. Славянск-на-Кубани,Пляж,"24.4972, 108.189"
Castle of East Kristenfort,Museum,"-38.9893, 66.9438"
Square of West Billytown,Nature Reserve,"-67.8451, 16.891"
Museum of West Alan,Горнолыжный курорт,"40.8142, 49.5814"
Музей ст. Охотск,Музей,"15.0569, 97.9371"
Park of East Michaelport,Public Park,"48.7382, -53.2404"
Castle of West Francesstad,Landmark,"69.5172, -41.5972"
Замок п. Ялуторовск,Nature Reserve,"55.3282, -72.1972"
Castle of Williamsmouth,Храм,"-62.6168, 85.9428"
Площадь с. Кандалакша,Beach,"-65.9068, 107.5816"
Lake of Brandonfurt,Горнолыжный курорт,"-28.6277, -33.5646"
Castle of Maxwellview,Пляж,"-15.3573, 57.5349"
Замок к. Славянск-на-Кубани,Храм,"19.1162, -48.6892"
Bridge of Lake Brendanside,Beach,"12.916, -96.9904"
Bridge of South Williamland,Museum,"-21.6775, -160.5082"
Square of West Sean,Famous Intersection,"-19.9842, 16.4258"
Museum of Port Alexisfurt,Исторический район,"29.8183, 166.2498"
Square of Port Luisshire,Famous Intersection,"-42.4899, -124.5815"
Square of Tammyshire,Исторический район,"9.3581, -119.1113"
Square of Hurleyhaven,Парк,"-6.0469, -118.8605"
Замок д. Владимир,Beach,"16.8621, -23.1655"
Парк к. Орск,Пляж,"38.6447, -169.0075"
Bridge of West Jeffreyside,Храм,"54.2042, -154.2301"
Музей г. Красноярск,Historic Site,"-61.0449, 99.9165"
Park of Fischerview,Historic Site,"55.3204, -105.0426"
Музей д. Касимов,Beach,"10.9468, -14.0282"
Площадь ст. Мыс Шмидта,Музей,"-3.2335, -139.9724"
Square of South Kirktown,Nature Reserve,"11.9897, 83.8606"
Музей д. Красноселькуп,Горнолыжный курорт,"0.3408, -119.723"
Lake of Port Sarah,Пляж,"59.6561, 127.5076"
Озеро с. Нефедова,Beach,"-47.7079, -143.7835"
Музей клх Архангельск,Храм,"22.1399, -96.5714"
Гора ст. Геленджик,Museum,"35.802, 128.9791"
Замок п. Александровск-Сахалинский,Mountain Peak,"38.9173, -18.2266"
Park of Port Carlatown,Mountain Peak,"-46.8686, 26.2838"
Lake of Port Scottburgh,Public Park,"67.5248, 31.5233"
Castle of Lake Jonathanville,Mountain Peak,"-5.1535, 105.2448"
Парк д. Саратов,Музей,"-37.0897, -29.3076"
Bridge of North Christopher,Достопримечательность,"-15.2394, 159.4725"
Castle of Pittsbury,Famous Intersection,"-24.1823, 4.685"
Park of Josephfort,Музей,"23.0754, -53.5476"
Square of New Stephanieport,Historic Site,"48.6569, -33.5185"
Парк клх Пушкинские Горы,Famous Intersection,"-68.9314, 96.509"
Замок ст. Черкесск,Музей,"10.4094, -7.3763"
Square of Port Bianca,Горнолыжный курорт,"-68.4666, -14.948"
Bridge of East Rebecca,Исторический район,"11.8375, 68.7415"
Парк п. Соболево,Горнолыжный курорт,"54.1861, 70.8464"
Square of Deckerland,Historic Site,"-36.5162, -155.8605"
Museum of New Markstad,Landmark,"30.764, -137.962"
Озеро к. Кош-Агач,Музей,"-35.9975, 106.981"
Площадь г. Ребриха,Mountain Peak,"50.5737, -86.405"
Park of Gillespiemouth,Горнолыжный курорт,"3.2907, -16.7483"
Гора с. Мценск,Музей,"-22.2369, -145.4921"
Замок д. Сызрань,Исторический район,"-20.9891, 13.7548"
Озеро к. Апатиты,Храм,"18.6993, -113.2492"
Гора г. Северо-Курильск,Горнолыжный курорт,"13.1594, -130.3858"
Парк клх Сорочинск,Famous Intersection,"60.6829, -33.0746"
Lake of Bondview,Famous Intersection,"14.3625, -149.9431"
Озеро к. Бавлы,Природный объект,"26.031, 158.2349"
Castle of Serranotown,Nature Reserve,"-6.3904, -163.21"
Площадь с. Оренбург,Музей,"4.9121, 140.5829"
Square of Cassieland,Достопримечательность,"42.6935, -59.7719"
Озеро клх Североуральск,Famous Intersection,"5.654, 41.6194"
Музей к. Талдом,Исторический район,"47.2936, 48.8402"
Park of Scottchester,Парк,"-6.9622, 130.9206"
Парк с. Орел,Природный объект,"10.608, -27.9173"
Парк г. Хатанга,Парк,"3.4103, 1.8723"
Парк п. Серафимович,Historic Site,"-66.0549, -56.6545"
Museum of Leeton,Landmark,"29.1337, -142.3361"
Озеро п. Ульяновск,Famous Intersection,"25.9132, 61.7293"
Парк п. Елец,Храм,"-26.9708, 10.7499"
Lake of West Ashleyport,Достопримечательность,"-61.4989, -109.5084"
Square of Rogersburgh,Museum,"-21.9959, 74.7363"
Bridge of Williamshaven,Public Park,"-63.1657, 145.5557"
Озеро д. Чермоз,Храм,"-44.8818, -81.8572"
Castle of Jillchester,Landmark,"20.5555, 51.3583"
Озеро ст. Теберда,Mountain Peak,"-0.4311, -125.9877"
Park of Jordanfort,Famous Intersection,"-62.9922, -119.8513"
Park of North Joshualand,Mountain Peak,"57.271, -88.7883"
Museum of New Brian,Public Park,"12.1057, -47.7582"
Озеро к. Майкоп,Музей,"-51.0261, -16.5542"
Парк ст. Урус-Мартан,Nature Reserve,"8.1126, 2.5143"
Музей ст. Алагир,Пляж,"49.0224, -158.5668"
Castle of Tinahaven,Famous Intersection,"54.4785, -147.721"
Lake of West Brendaland,Public Park,"-67.5869, 133.7741"
Castle of West Allen,Горнолыжный курорт,"-66.586, 33.0238"
Bridge of Byrdberg,Beach,"13.8442, -143.3534"
Bridge of Carterfort,Nature Reserve,"33.3966, -166.768"
Lake of Rodneyshire,Famous Intersection,"-23.5261, 6.6266"
Площадь д. Гремячинск (Бурят.),Музей,"-29.2554, 22.632"
Парк п. Кулу,Nature Reserve,"-66.9874, -65.5772"
Гора г. Киржач,Museum,"-63.7407, -25.2044"
Озеро д. Тимашевск,Beach,"-63.0292, 55.9237"
Площадь ст. Нерчинск,Famous Intersection,"-66.4216, -84.0969"
Museum of Lake David,Музей,"-45.6609, -64.1903"
Замок ст. Карачаевск,Landmark,"-3.6175, -90.456"
Park of Collinsside,Горнолыжный курорт,"57.9524, -116.1851"
Lake of New Joshua,Исторический район,"58.6298, -1.6501"
Museum of West Richard,Historic Site,"-4.316, -68.7316"
Гора п. Славянск-на-Кубани,Парк,"41.0601, 136.7737"
Замок д. Дербент,Public Park,"48.6535, -60.5328"
Castle of North Gregory,Исторический район,"23.9993, 143.3081"
Bridge of Ashleyville,Famous Intersection,"-55.6733, -119.9447"
Озеро п. Тосно,Исторический район,"-60.0235, 101.3512"
Bridge of Port Kristenside,Пляж,"-65.0514, 54.4928"
Museum of Port Ryanstad,Достопримечательность,"31.9544, -79.6043"
Площадь д. Ноябрьск,Достопримечательность,"-31.0121, 21.3817"
Bridge of New Carlystad,Mountain Peak,"-45.1832, -11.3873"
Площадь с. Домбай,Пляж,"-32.2276, -48.8126"
Castle of New Spencer,Горнолыжный курорт,"65.0796, -118.6957"
Парк клх Бологое,Mountain Peak,"-60.4305, -4.3445"
Castle of New Kathrynfort,Храм,"-52.8218, -25.9441"
Парк ст. Стерлитамак,Достопримечательность,"-57.8034, 96.3046"
Lake of Lake Royshire,Beach,"43.8193, 75.1412"
Гора п. Коломна,Beach,"68.0835, -143.2466"
Lake of Lake Hannahton,Музей,"33.3227, 153.7111"
Площадь к. Норильск,Famous Intersection,"34.1171, -98.6445"
Lake of Hollandshire,Nature Reserve,"-14.6128, 7.4274"
Гора г. Магнитогорск,Landmark,"-62.1856, -2.3128"
Castle of Anthonyfort,Mountain Peak,"40.3361, 105.5496"
Парк г. Слюдянка,Public Park,"55.2137, 140.7805"
Park of East Deannafurt,Исторический район,"21.3607, -36.6665"
Гора к. Чегем,Природный объект,"43.0286, -42.5042"
Museum of Kaylahaven,Пляж,"68.3037, -121.9169"
Museum of Justinhaven,Достопримечательность,"2.0285, -99.4332"
Castle of Christensenmouth,Famous Intersection,"48.2351, 59.9462"
Castle of North Jeffreyborough,Nature Reserve,"-33.712, -62.7544"
Park of West Marciaton,Beach,"32.008, 76.2619"
Bridge of East Wendychester,Достопримечательность,"27.2008, -22.8159"
Bridge of Millerland,Famous Intersection,"-61.5996, 23.0178"
Lake of East Leroy,Горнолыжный курорт,"-36.4828, -74.8371"
Square of Morganport,Mountain Peak,"-41.791, 148.3204"
Bridge of West Billyborough,Mountain Peak,"40.4929, 91.3724"
Bridge of New Shawn,Famous Intersection,"55.6299, -64.4227"
Замок ст. Липецк,Public Park,"66.3165, -149.6571"
Озеро ст. Тобольск,Landmark,"66.9608, -145.6484"
Park of West Ashlee,Nature Reserve,"-1.4455, -82.0097"
Lake of Erictown,Nature Reserve,"4.7518, -63.4728"
Museum of Lake Kimberlyview,Museum,"-30.8569, 165.3431"
Замок с. Мостовской,Landmark,"51.3457, -32.3"
Озеро д. Лотошино,Храм,"67.1136, 120.0603"
Гора ст. Кетченеры,Исторический район,"3.3026, -98.587"
Park of Port Brian,Храм,"23.4248, -74.4332"
Bridge of East Jennifer,Храм,"-22.9745, -17.2528"
Museum of Carlberg,Museum,"56.3146, -8.0509"
Museum of North Melissahaven,Музей,"11.621, 84.0212"
Castle of Morrisport,Nature Reserve,"-45.4555, -23.1442"
Bridge of Garrisonfurt,Горнолыжный курорт,"-52.7236, -11.0"
Замок клх Шадринск,Исторический район,"-29.7445, 29.1146"
Lake of South Morganhaven,Парк,"58.7772, 22.793"
Bridge of Williamsborough,Famous Intersection,"-55.192, 27.7091"
Парк г. Ноглики,Nature Reserve,"-30.7986, -87.0"
Озеро с. Сеймчан,Природный объект,"13.1116, 59.81"
Lake of Heathermouth,Исторический район,"-57.6157, -43.1248"
Музей п. Благовещенск (Амур.),Historic Site,"30.2105, -87.6296"
Lake of Port Brandon,Landmark,"-27.8698, 70.4057"
Гора ст. Тулун,Парк,"40.6821, -6.6656"
Castle of West Shawn,Храм,"63.4052, 101.1801"
Замок п. Курган,Горнолыжный курорт,"37.0443, 68.0654"
Замок г. Славянск-на-Кубани,Исторический район,"18.1548, 143.3612"
Square of Christineton,Исторический район,"37.6381, -97.1682"
Lake of West James,Исторический район,"-20.369, -53.8932"
Lake of New Timothy,Парк,"16.7057, -78.7971"
Музей к. Верхний Уфалей,Mountain Peak,"-3.2718, -157.6057"
Гора клх Волоколамск,Famous Intersection,"-66.1614, -49.8385"
Bridge of New Michelefurt,Парк,"18.5199, -116.4175"
Lake of Matthewmouth,Природный объект,"56.6761, -62.4745"
Lake of Sarahburgh,Museum,"-61.0818, 79.0011"
Museum of Joshuachester,Храм,"-38.5409, 11.3427"
Озеро д. Сальск,Public Park,"-16.3349, 120.4602"
Castle of South Roberthaven,Музей,"-52.9421, -54.8324"
Bridge of Nancyborough,Historic Site,"26.3301, -141.172"
Square of Port Vincent,Горнолыжный курорт,"23.8432, 130.6616"
Castle of Lake Patricia,Nature Reserve,"15.1277, -109.8214"
Bridge of Tonyaport,Public Park,"36.993, 144.8541"
Замок к. Тихвин,Nature Reserve,"24.2994, -28.7001"
Museum of Brendastad,Исторический район,"15.1165, 143.6825"
Музей клх Волгодонск,Museum,"46.214, 80.8636"
Park of Port Andrewport,Landmark,"-67.2891, 70.2133"
Музей г. Ноябрьск,Храм,"-13.5769, 72.4611"
Lake of New Brianna,Горнолыжный курорт,"11.8748, 31.7022"
Park of East Gabrielbury,Museum,"-15.8826, -119.2807"
Castle of New Briantown,Пляж,"37.2637, -160.2689"
Музей клх Ноябрьск,Beach,"-6.5638, -3.5917"
Square of Port Micheleland,Famous Intersection,"41.7348, -165.7877"
Park of East Mark,Достопримечательность,"-66.2203, 32.4963"
Lake of Kingchester,Historic Site,"54.3939, 77.4471"
Park of Cruzside,Пляж,"41.47, 128.0051"
Park of Port Jill,Парк,"-2.2024, -150.8161"
Озеро д. Магнитогорск,Famous Intersection,"44.9832, -66.3221"
Площадь д. Всеволожск,Museum,"-8.308, -161.1625"
Озеро к. Суздаль,Природный объект,"36.3487, 93.5573"
Square of North Shane,Достопримечательность,"34.2676, -40.4674"
Замок д. Карпинск,Mountain Peak,"-19.0276, 106.6694"
Square of Donnatown,Public Park,"22.8713, 80.4637"
Озеро клх Шарья,Landmark,"-61.2147, 110.9864"
Площадь с. Краснокамск,Парк,"56.1632, 141.9268"
Озеро д. Серафимович,Museum,"63.0585, 119.8745"
Lake of West Robertville,Горнолыжный курорт,"-28.205, 113.2996"
Bridge of Thomasview,Исторический район,"-11.4774, -27.4326"
Castle of Shellyville,Mountain Peak,"-0.7722, 79.1498"
Музей п. Сибай,Museum,"57.7648, 71.3683"
Площадь п. Токсово,Пляж,"-30.4017, -6.6576"
Park of Stevenstad,Пляж,"16.0327, -23.5826"
Музей клх Якша,Пляж,"20.7776, 111.8118"
Park of Audreyberg,Museum,"36.9269, -167.5908"
Castle of Chavezmouth,Исторический район,"-5.7091, 70.674"
Square of Port Jessicaside,Famous Intersection,"16.2324, -69.9682"
Замок ст. Подольск,Museum,"59.2162, 92.6812"
Bridge of Powellhaven,Природный объект,"63.7654, -68.3822"
Bridge of Craigland,Mountain Peak,"41.8872, 112.1245"
Museum of New Lisaview,Исторический район,"63.7266, -64.6407"
Замок д. Ростов-на-Дону,Исторический район,"28.8795, 21.1096"
Bridge of Stokesshire,Landmark,"-30.829, -122.1483"
Площадь д. Верхний Тагил,Горнолыжный курорт,"-68.5562, 104.034"
Bridge of South Jeffreyside,Исторический район,"-58.7751, 124.8276"
Парк клх Яхрома,Public Park,"25.0576, -1.822"
Park of Port Jeffrey,Nature Reserve,"-8.2643, -111.2305"
Bridge of South Whitney,Mountain Peak,"-67.679, -138.9637"
Museum of New Kevinchester,Природный объект,"-15.3363, 5.8833"
Bridge of Castilloshire,Исторический район,"52.7972, -44.0318"
Площадь к. Обоянь,Исторический район,"-0.1089, -59.69"
Lake of West John,Исторический район,"37.2866, -119.8089"
Bridge of Lake Sethfort,Храм,"-48.095, -57.456"
Park of Rebeccabury,Природный объект,"58.349, 103.9028"
Park of Benjaminfurt,Landmark,"-64.4995, 124.5925"
Park of Amystad,Public Park,"13.708, 61.4914"
Castle of Lake Tonytown,Public Park,"-61.2738, 58.9818"
Замок клх Учалы,Beach,"57.163, -145.393"
Замок д. Абакан,Museum,"0.314, 41.8301"
Площадь д. Благовещенск (Амур.),Landmark,"-10.48, 81.2507"
Замок п. Балашиха,Природный объект,"65.9127, -140.3516"
Museum of Melissachester,Природный объект,"63.3323, 66.6556"
Площадь ст. Черкесск,Nature Reserve,"45.9271, 93.036"
Музей с. Вуктыл,Nature Reserve,"-2.0176, 155.5261"
Площадь д. Диксон,Музей,"-63.6888, 32.9297"
Площадь к. Всеволожск,Historic Site,"-41.5995, -18.1374"
Парк г. Шереметьево,Пляж,"9.9043, 38.3391"
Площадь п. Тура,Музей,"14.5663, -25.6189"
Lake of South Barbara,Nature Reserve,"60.7235, -126.3772"
Озеро ст. Кировск (Ленин.),Достопримечательность,"-47.6154, -81.1719"
Гора г. Кизляр,Храм,"-29.702, -102.5694"
Озеро г. Великий Устюг,Достопримечательность,"8.8499, 50.1049"
Площадь д. Лазаревское,Достопримечательность,"49.2904, -86.7409"
Lake of West Tylerport,Храм,"-28.2886, 68.432"
Park of East Michael,Nature Reserve,"24.8141, -127.2406"
Museum of Port Kimberly,Public Park,"45.578, -154.0264"
Square of Johnsonton,Музей,"51.2422, 164.8136"
Park of Nicoleton,Храм,"-38.0632, 15.0605"
Гора к. Верхнее Пенжино,Famous Intersection,"-39.5768, -1.0806"
Castle of North Jenniferburgh,Пляж,"-13.2281, -9.3579"
Замок г. Соликамск,Горнолыжный курорт,"-58.3224, 150.8065"
Озеро клх Ангарск,Beach,"-3.051, 88.7704"
Площадь с. Сосьва (Хант.),Historic Site,"-38.8786, 27.0102"
Castle of North Stephenton,Природный объект,"12.2352, -64.095"
Museum of Wrightmouth,Достопримечательность,"-52.0674, -150.2302"
Bridge of Cooperside,Nature Reserve,"62.4752, -84.0815"
Lake of Lucasside,Храм,"-47.317, -115.4566"
Lake of Cameronland,Landmark,"32.9544, 92.0146"
Парк ст. Баксан,Пляж,"-46.1889, 104.0565"
Museum of Port Jennifer,Beach,"-62.1586, 82.0593"
Castle of North Emma,Пляж,"-29.179, 28.1481"
Museum of Greenton,Nature Reserve,"-38.7347, -48.7843"
Museum of Courtneyfurt,Nature Reserve,"60.0704, 16.5607"
Park of Juliaside,Природный объект,"-42.0111, -29.2691"
Castle of Benderside,Museum,"-26.2509, 139.8508"
Castle of Robertchester,Парк,"-43.1624, 34.0678"
Парк г. Апшеронск,Historic Site,"-30.3693, 20.2668"
Square of Adkinsmouth,Храм,"-24.9285, 56.5244"
Park of Danielbury,Famous Intersection,"-4.4842, -86.0935"
Square of South Michael,Горнолыжный курорт,"-65.0536, -154.7729"
Bridge of Brianstad,Музей,"-47.3801, -95.8071"
Озеро клх Шамары,Nature Reserve,"59.9141, -12.4321"
Музей клх Анива,Природный объект,"53.8051, 150.8384"
Castle of Potterhaven,Famous Intersection,"19.8703, 48.8442"
Музей д. Терней,Beach,"-29.7186, -0.5613"
Парк ст. Элиста,Beach,"-59.8523, 109.3945"
Square of Blairshire,Природный объект,"-4.4759, -71.8955"
Square of Seanfort,Museum,"-57.4603, 67.9085"
Площадь п. Приозерск,Исторический район,"40.2383, -81.4368"
Lake of Choiton,Museum,"62.7665, -57.7668"
Замок п. Усмань,Museum,"67.2395, 81.3871"
Lake of Thomasmouth,Historic Site,"6.7449, 104.3154"
Bridge of Butlertown,Public Park,"-27.9624, -17.5872"
Замок п. Сальск,Beach,"-62.1026, 108.9233"
Гора ст. Ершов,Museum,"21.3026, 69.041"
Площадь клх Жиганск,Landmark,"-31.159, -48.7126"
Castle of North Justin,Mountain Peak,"-28.5674, 18.7561"
Square of Port Colleen,Достопримечательность,"53.7288, 21.3967"
Square of Jamesville,Достопримечательность,"55.3781, 161.1432"
Square of West Robert,Beach,"30.1226, 114.9585"
Lake of North Richardborough,Museum,"29.6172, 78.6006"
Park of South Markstad,Mountain Peak,"28.0643, 17.9714"
Square of Munozchester,Природный объект,"50.4482, 35.5114"
Park of Brittneyhaven,Парк,"-12.4175, -52.4368"
Square of Johnsonbury,Famous Intersection,"5.8096, -63.1797"
